id,category,type,prompt,difficulty,keywords,length,created_at
,시,즉흥시,"즉흥시 연습 (계절이 바뀌는 풍경, 잔잔하게 이어지는 흐름의 시): 속삭이듯 이어지는 3행 시를 만들어 보세요. 단어: '차가운 손잡이, 식탁 위 빵, 컵라면 스프'",중간,"[차가운 손잡이, 식탁 위 빵, 컵라면 스프]",120,2025-07-17 01:20:00
,시,즉흥시,"즉흥시 연습 (잊힌 공간, 조용한 긴장감의 시): 일상의 소재를 바탕으로 3행의 즉흥시를 작성하세요. 단어: '젖은 우산, 동네 마트, 빨간 우체통'",어려움,"[젖은 우산, 동네 마트, 빨간 우체통]",111,2025-07-17 01:19:00
,시,즉흥시,"즉흥시 연습 (잊힌 공간, 잔잔하게 이어지는 흐름의 시): 간결한 언어로 여운이 남는 3행 즉흥시를 작성하세요. 단어: '벽에 걸린 옷, 포장지 비닐, 동네 서점'",중간,"[벽에 걸린 옷, 포장지 비닐, 동네 서점]",119,2025-07-17 01:18:00
,시,즉흥시,"즉흥시 연습 (계절이 바뀌는 풍경, 잔잔하게 이어지는 흐름의 시): 일상 속 풍경을 담은 3~5행 시를 작성하세요. 단어: '벽시계, 길모퉁이 의자, 라면 냄새'",어려움,"[벽시계, 길모퉁이 의자, 라면 냄새]",77,2025-07-17 01:17:00
,시,즉흥시,"즉흥시 연습 (아침과 하루의 시작, 조용한 긴장감의 시): 속삭이듯 이어지는 3행 시를 만들어 보세요. 단어: '늦은 밤 기침, 빨간 간판, 식은 국밥'",중간,"[늦은 밤 기침, 빨간 간판, 식은 국밥]",117,2025-07-17 01:16:00
,시,즉흥시,"즉흥시 연습 (작은 일상의 순간, 꿈결 같은 반복 시): 속삭이듯 이어지는 3행 시를 만들어 보세요. 단어: '햇살 담긴 잔, 책상 긁힘, 빨래 걸린 베란다'",어려움,"[햇살 담긴 잔, 책상 긁힘, 빨래 걸린 베란다]",102,2025-07-17 01:15:00
,시,즉흥시,"즉흥시 연습 (아침과 하루의 시작, 잔잔하게 이어지는 흐름의 시): 일상 속 풍경을 담은 3~5행 시를 작성하세요. 단어: '종이 울림, 책장, 빗물 자국'",중간,"[종이 울림, 책장, 빗물 자국]",108,2025-07-17 01:14:00
,시,즉흥시,"즉흥시 연습 (늦은 밤의 거리, 부드러운 감각 시): 시각적 패턴으로 4행 시를 완성하세요. 단어: '엘리베이터 소리, 가게 유리창, 커피잔'",쉬움,"[엘리베이터 소리, 가게 유리창, 커피잔]",89,2025-07-17 01:13:00
,시,즉흥시,"즉흥시 연습 (도시의 숨결, 속삭임과 울림이 교차하는 시): 시각적 패턴으로 4행 시를 완성하세요. 단어: '편의점 소리, 캔맥주 소리, 지하철 문소리'",중간,"[편의점 소리, 캔맥주 소리, 지하철 문소리]",62,2025-07-17 01:12:00
,시,즉흥시,"즉흥시 연습 (작은 일상의 순간, 부드러운 감각 시): 속삭이듯 이어지는 3행 시를 만들어 보세요. 단어: '택배 상자 소리, 택시 불빛, 버스 창문'",중간,"[택배 상자 소리, 택시 불빛, 버스 창문]",70,2025-07-17 01:11:00
,시,즉흥시,"즉흥시 연습 (계절이 바뀌는 풍경, 속도감 있는 흐름 시): 일상 속 풍경을 담은 3~5행 시를 작성하세요. 단어: '휴대폰 불빛, 골목길 냄새, 포장지 소리'",중간,"[휴대폰 불빛, 골목길 냄새, 포장지 소리]",100,2025-07-17 01:10:00
,시,즉흥시,"즉흥시 연습 (거리의 소리, 단편적인 기억의 조각 시): 꿈결처럼 반복되는 2~3행 시를 작성하세요. 단어: '휴대폰 진동, 노을빛 간판, 붉은 벽'",중간,"[휴대폰 진동, 노을빛 간판, 붉은 벽]",56,2025-07-17 01:09:00
,시,즉흥시,"즉흥시 연습 (작은 일상의 순간, 속도감 있는 흐름 시): 속삭이듯 이어지는 3행 시를 만들어 보세요. 단어: '기타 소리, 버려진 신문, 도서관 냄새'",어려움,"[기타 소리, 버려진 신문, 도서관 냄새]",57,2025-07-17 01:08:00
