id,category,type,prompt,difficulty,keywords,length,created_at
301,시,시 구조 변형 연습,"'얼룩진 노트'을 주제로 자유시, 3행시, 하이쿠, 산문시로 바꾸어 쓰세요.",중간,"['금이 간 돌', '갈라진 길', '흘러가는 연기']",91,2025-07-23 15:45:59
302,시,시 구조 변형 연습,주어진 '부서진 시계탑'을 4가지 시 형식으로 나누어 표현하세요.,어려움,"['버려진 항구', '젖은 종이', '낙하하는 돌']",55,2025-07-23 15:46:59
303,시,시 구조 변형 연습,"문장 '낡은 다리'을 자유시, 3행시, 하이쿠, 산문시로 변형해보세요.",쉬움,"['희미한 별', '거친 바위', '낮게 드리운 구름']",112,2025-07-23 15:47:59
304,시,시 구조 변형 연습,'거센 폭우'을 변주하여 서로 다른 네 종류의 시로 작성하세요.,어려움,"['빛바랜 나무', '희미한 촛불', '깊은 안식처']",65,2025-07-23 15:48:59
305,시,시 구조 변형 연습,'어두운 터널'이라는 구절을 바탕으로 4가지 시 형태로 확장하세요.,쉬움,"['깊은 안식처', '얼룩진 유리', '휘몰아치는 바람']",112,2025-07-23 15:49:59
306,시,시 구조 변형 연습,'번쩍이는 칼끝'을 시작점으로 네 가지 시 형식으로 표현하세요.,쉬움,"['거친 바위', '쓸쓸한 달', '숨죽인 목소리']",68,2025-07-23 15:50:59
307,시,시 구조 변형 연습,'번쩍이는 칼끝'을 변주하여 서로 다른 네 종류의 시로 작성하세요.,중간,"['검은 폭풍', '거대한 그림자', '부서진 성']",149,2025-07-23 15:51:59
308,시,시 구조 변형 연습,'깨어진 유리창' 문장을 바탕으로 4가지 스타일의 시를 완성하세요.,중간,"['붉게 빛난 별', '썩은 나무', '흐르는 강']",75,2025-07-23 15:52:59
309,시,시 구조 변형 연습,'붉게 물든 강'이라는 구절을 바탕으로 4가지 시 형태로 확장하세요.,중간,"['낙하하는 돌', '흐르는 강', '희미한 별']",123,2025-07-23 15:53:59
310,시,시 구조 변형 연습,'사라진 종소리'을 각기 다른 시 형식으로 다시 써보세요.,어려움,"['젖은 종이', '부서진 성', '깨진 초승달']",140,2025-07-23 15:54:59
311,시,시 구조 변형 연습,'검은 안개'을 시작점으로 네 가지 시 형식으로 표현하세요.,중간,"['낮게 드리운 구름', '흐릿한 해', '깨진 초승달']",75,2025-07-23 15:55:59
