id,category,type,prompt,difficulty,keywords,length,created_at
,시,이미지화,시의 장면을 시각적으로 구현하세요: '소용돌이을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',쉬움,"[나비, 진주, 사슬]",212,2025-07-22 08:57:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '나비을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',어려움,"[달그림자, 조개껍질, 풍경화]",114,2025-07-22 08:56:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '고드름을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',중간,"[비늘, 그림자, 진흙]",71,2025-07-22 08:55:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '조개껍질을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',어려움,"[그림자, 허공, 파도소리]",77,2025-07-22 08:54:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '심장박동을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',중간,"[소용돌이, 풍경화, 고치]",192,2025-07-22 08:53:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '심장박동을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',중간,"[비늘, 빛살, 풍경화]",141,2025-07-22 08:52:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '심장박동을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',어려움,"[심장박동, 허공, 종소리]",188,2025-07-22 08:51:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '개울을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',어려움,"[허공, 진흙, 고치]",154,2025-07-22 08:50:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '비늘을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',중간,"[심장박동, 성운, 비늘]",166,2025-07-22 08:49:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '늪지을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',어려움,"[허공, 별자리, 종소리]",147,2025-07-22 08:48:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '나비을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',어려움,"[별자리, 파도소리, 고드름]",73,2025-07-22 08:47:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '그림자을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',중간,"[조개껍질, 바위, 파편]",216,2025-07-22 08:46:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '고드름을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',어려움,"[개울, 별자리, 허공]",200,2025-07-22 08:45:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '파도소리을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',쉬움,"[허공, 빛살, 칼날]",213,2025-07-22 08:44:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '풍경화을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',쉬움,"[종소리, 별자리, 칼날]",130,2025-07-22 08:43:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '성운을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',중간,"[나비, 고드름, 심장박동]",186,2025-07-22 08:42:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '허공을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',중간,"[별자리, 빛살, 고드름]",198,2025-07-22 08:41:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '새벽녘을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',어려움,"[달그림자, 고치, 사슬]",149,2025-07-22 08:40:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '고치을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',중간,"[초승달, 별자리, 늪지]",170,2025-07-22 08:39:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '사슬을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',어려움,"[바위, 소용돌이, 진주]",147,2025-07-22 08:38:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '빛살을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',어려움,"[유령, 그림자, 늪지]",161,2025-07-22 08:37:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '종소리을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',중간,"[파도소리, 늪지, 고치]",172,2025-07-22 08:36:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '파도소리을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',중간,"[칼날, 유령, 늪지]",245,2025-07-22 08:35:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '진주을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',쉬움,"[소용돌이, 개울, 메아리]",245,2025-07-22 08:34:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '나비을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',어려움,"[조개껍질, 서리, 파도소리]",121,2025-07-22 08:33:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '고드름을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',어려움,"[사슬, 달그림자, 풍경화]",178,2025-07-22 08:32:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '사슬을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',쉬움,"[풍경화, 개울, 불씨]",184,2025-07-22 08:31:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '달그림자을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',중간,"[개울, 진주, 심장박동]",239,2025-07-22 08:30:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '풍경화을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',중간,"[고치, 심장박동, 소용돌이]",129,2025-07-22 08:29:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '비늘을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',중간,"[고드름, 새벽녘, 나비]",75,2025-07-22 08:28:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '늪지을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',중간,"[성운, 종소리, 늪지]",98,2025-07-22 08:27:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '눈보라을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',쉬움,"[나비, 별자리, 심장박동]",100,2025-07-22 08:26:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '비늘을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',어려움,"[조개껍질, 초승달, 바위]",159,2025-07-22 08:25:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '불씨을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',중간,"[불씨, 늪지, 개울]",140,2025-07-22 08:24:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '초승달을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',중간,"[달그림자, 칼날, 별자리]",196,2025-07-22 08:23:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '사슬을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',쉬움,"[풍경화, 사슬, 서리]",161,2025-07-22 08:22:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '초승달을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',쉬움,"[별자리, 새벽녘, 파편]",210,2025-07-22 08:21:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '바위을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',쉬움,"[늪지, 나비, 별자리]",90,2025-07-22 08:20:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '초승달을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',어려움,"[초승달, 심장박동, 나비]",72,2025-07-22 08:19:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '성운을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',쉬움,"[심장박동, 파도소리, 진흙]",156,2025-07-22 08:18:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '허공을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',중간,"[허공, 소용돌이, 개울]",215,2025-07-22 08:17:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '서리을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',중간,"[칼날, 그림자, 서리]",135,2025-07-22 08:16:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '새벽녘을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',쉬움,"[칼날, 눈보라, 개울]",74,2025-07-22 08:15:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '조개껍질을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',어려움,"[칼날, 메아리, 서리]",235,2025-07-22 08:14:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '메아리을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',중간,"[개울, 조개껍질, 사슬]",246,2025-07-22 08:13:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '종소리을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',어려움,"[허공, 달그림자, 칼날]",155,2025-07-22 08:12:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '조개껍질을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',쉬움,"[진흙, 별자리, 허공]",73,2025-07-22 08:11:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '별자리을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',쉬움,"[파편, 바위, 심장박동]",248,2025-07-22 08:10:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '칼날을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',중간,"[파편, 개울, 종소리]",207,2025-07-22 08:09:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '눈보라을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',쉬움,"[빛살, 메아리, 서리]",213,2025-07-22 08:08:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '진흙을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',어려움,"[성운, 개울, 비늘]",199,2025-07-22 08:07:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '늪지을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',쉬움,"[진흙, 유령, 소용돌이]",161,2025-07-22 08:06:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '빛살을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',어려움,"[진흙, 초승달, 별자리]",234,2025-07-22 08:05:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '바위을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',어려움,"[종소리, 풍경화, 새벽녘]",219,2025-07-22 08:04:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '그림자을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',어려움,"[눈보라, 비늘, 파도소리]",138,2025-07-22 08:03:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '조개껍질을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',어려움,"[메아리, 풍경화, 그림자]",71,2025-07-22 08:02:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '새벽녘을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',중간,"[나비, 성운, 빛살]",129,2025-07-22 08:01:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '빛살을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',어려움,"[눈보라, 초승달, 진흙]",96,2025-07-22 08:00:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '나비을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',어려움,"[서리, 나비, 소용돌이]",101,2025-07-22 07:59:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '진주을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',어려움,"[초승달, 유령, 풍경화]",173,2025-07-22 07:58:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '성운을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',쉬움,"[파편, 진흙, 성운]",232,2025-07-22 07:57:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '조개껍질을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',어려움,"[바위, 파도소리, 소용돌이]",106,2025-07-22 07:56:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '풍경화을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',중간,"[서리, 고드름, 늪지]",91,2025-07-22 07:55:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '진주을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',쉬움,"[칼날, 진흙, 초승달]",109,2025-07-22 07:54:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '그림자을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',중간,"[풍경화, 파편, 사슬]",231,2025-07-22 07:53:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '파도소리을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',쉬움,"[불씨, 별자리, 빛살]",193,2025-07-22 07:52:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '빛살을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',중간,"[메아리, 새벽녘, 진주]",244,2025-07-22 07:51:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '진주을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',쉬움,"[풍경화, 심장박동, 그림자]",240,2025-07-22 07:50:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '서리을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',중간,"[달그림자, 종소리, 파편]",78,2025-07-22 07:49:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '나비을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',어려움,"[그림자, 고치, 종소리]",158,2025-07-22 07:48:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '고치을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',어려움,"[빛살, 바위, 늪지]",157,2025-07-22 07:47:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '서리을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',어려움,"[바위, 그림자, 종소리]",212,2025-07-22 07:46:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '성운을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',쉬움,"[고치, 조개껍질, 종소리]",151,2025-07-22 07:45:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '빛살을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',중간,"[성운, 서리, 파도소리]",153,2025-07-22 07:44:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '서리을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',어려움,"[별자리, 심장박동, 소용돌이]",70,2025-07-22 07:43:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '유령을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',중간,"[파편, 비늘, 개울]",96,2025-07-22 07:42:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '사슬을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',중간,"[파편, 진흙, 빛살]",128,2025-07-22 07:41:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '종소리을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',쉬움,"[빛살, 고드름, 심장박동]",106,2025-07-22 07:40:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '눈보라을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',중간,"[고치, 초승달, 눈보라]",119,2025-07-22 07:39:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '늪지을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',쉬움,"[메아리, 유령, 별자리]",194,2025-07-22 07:38:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '소용돌이을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',어려움,"[유령, 진흙, 달그림자]",89,2025-07-22 07:37:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '심장박동을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',중간,"[유령, 새벽녘, 나비]",216,2025-07-22 07:36:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '비늘을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',어려움,"[사슬, 종소리, 초승달]",74,2025-07-22 07:35:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '종소리을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',어려움,"[진흙, 별자리, 유령]",132,2025-07-22 07:34:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '초승달을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',어려움,"[진주, 바위, 소용돌이]",116,2025-07-22 07:33:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '나비을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',어려움,"[유령, 비늘, 조개껍질]",226,2025-07-22 07:32:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '파편을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',중간,"[심장박동, 바위, 나비]",128,2025-07-22 07:31:09
,시,이미지화,시의 장면을 시각적으로 구현하세요: '그림자을(를) 중심으로 한 독창적이고 몽환적인 풍경을 묘사하세요.',쉬움,"[파도소리, 불씨, 늪지]",172,2025-07-22 07:30:09
